"filename", "language", "Markdown", "C", "Makefile", "LinkerScript", "XML", "Log", "Batch", "C++", "Assembly", "comment", "blank", "total"
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\pageTableManager.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 8, 68
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\pageTableManager.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\paging.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\paging.h", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\panic.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\panic.h", "C++", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\pci.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 20, 76
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\pci.h", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\pciDescriptors.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 10, 205
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\simpleFonts.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\userinput\kbScancodeTranslation.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\userinput\kbScancodeTranslation.h", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\userinput\keyboard.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 11, 46
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\userinput\keyboard.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\userinput\mouse.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 144, 0, 8, 29, 181
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\userinput\mouse.h", "C++", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"Total", "-", 1, 7114, 311, 576, 20, 40, 11, 11756, 16, 6031, 4839, 30715
